[2025-12-18 01:24:49,959] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-12-18 01:24:49,996] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-12-18 01:24:50,754] [INFO] [comm.py:658:init_distributed] cdb=None
[2025-12-18 01:24:50,754] [INFO] [comm.py:689:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
[2025-12-18 01:24:50,921] [INFO] [comm.py:658:init_distributed] cdb=None
Loading model, tokenizer, processor...
Vision encoder is freezed... including:
	visual.patch_embed
	visual.rotary_pos_emb
	visual.blocks
Vision projector is freezed... including:
	visual.merger
LoRA for LLM enabled...
Loading data...
qwen2-vl
qwen2-vl
{'loss': 2.6946, 'grad_norm': 2.7217910289764404, 'learning_rate': 1.388888888888889e-06, 'epoch': 0.0}
{'loss': 2.622, 'grad_norm': 2.5468108654022217, 'learning_rate': 2.777777777777778e-06, 'epoch': 0.0}
{'loss': 2.6106, 'grad_norm': 2.9543445110321045, 'learning_rate': 4.166666666666667e-06, 'epoch': 0.0}
{'loss': 2.7593, 'grad_norm': 2.661672830581665, 'learning_rate': 5.555555555555556e-06, 'epoch': 0.0}
{'loss': 2.5232, 'grad_norm': 2.885119676589966, 'learning_rate': 6.944444444444445e-06, 'epoch': 0.0}
{'loss': 2.6682, 'grad_norm': 2.599121332168579, 'learning_rate': 8.333333333333334e-06, 'epoch': 0.0}
{'loss': 2.7416, 'grad_norm': 2.7401790618896484, 'learning_rate': 9.722222222222223e-06, 'epoch': 0.0}
{'loss': 2.5494, 'grad_norm': 2.640922784805298, 'learning_rate': 1.1111111111111112e-05, 'epoch': 0.0}
{'loss': 2.8072, 'grad_norm': 3.0796728134155273, 'learning_rate': 1.25e-05, 'epoch': 0.0}
{'loss': 2.5446, 'grad_norm': 3.3031485080718994, 'learning_rate': 1.388888888888889e-05, 'epoch': 0.0}
{'loss': 2.6489, 'grad_norm': 3.130934953689575, 'learning_rate': 1.527777777777778e-05, 'epoch': 0.0}
{'loss': 2.6291, 'grad_norm': 3.1176228523254395, 'learning_rate': 1.6666666666666667e-05, 'epoch': 0.01}
{'loss': 2.5576, 'grad_norm': 2.9096386432647705, 'learning_rate': 1.8055555555555555e-05, 'epoch': 0.01}
{'loss': 2.5793, 'grad_norm': 3.4012701511383057, 'learning_rate': 1.9444444444444445e-05, 'epoch': 0.01}
{'loss': 2.2885, 'grad_norm': 3.500988245010376, 'learning_rate': 2.0833333333333336e-05, 'epoch': 0.01}
{'loss': 2.7901, 'grad_norm': 3.3503100872039795, 'learning_rate': 2.2222222222222223e-05, 'epoch': 0.01}
{'loss': 2.5641, 'grad_norm': 3.898181200027466, 'learning_rate': 2.361111111111111e-05, 'epoch': 0.01}
{'loss': 2.3109, 'grad_norm': 3.4078211784362793, 'learning_rate': 2.5e-05, 'epoch': 0.01}
{'loss': 2.3159, 'grad_norm': 2.7573611736297607, 'learning_rate': 2.6388888888888892e-05, 'epoch': 0.01}
{'loss': 2.2124, 'grad_norm': 2.4794931411743164, 'learning_rate': 2.777777777777778e-05, 'epoch': 0.01}
{'loss': 2.1307, 'grad_norm': 2.2152750492095947, 'learning_rate': 2.916666666666667e-05, 'epoch': 0.01}
{'loss': 2.2567, 'grad_norm': 2.0800325870513916, 'learning_rate': 3.055555555555556e-05, 'epoch': 0.01}
{'loss': 2.0552, 'grad_norm': 2.3519232273101807, 'learning_rate': 3.194444444444444e-05, 'epoch': 0.01}
{'loss': 1.9166, 'grad_norm': 2.909491539001465, 'learning_rate': 3.3333333333333335e-05, 'epoch': 0.01}
{'loss': 1.8347, 'grad_norm': 2.235407590866089, 'learning_rate': 3.472222222222222e-05, 'epoch': 0.01}
{'loss': 1.8907, 'grad_norm': 2.440619707107544, 'learning_rate': 3.611111111111111e-05, 'epoch': 0.01}
{'loss': 1.7795, 'grad_norm': 4.116303443908691, 'learning_rate': 3.7500000000000003e-05, 'epoch': 0.01}
{'loss': 1.7282, 'grad_norm': 2.877837657928467, 'learning_rate': 3.888888888888889e-05, 'epoch': 0.01}
{'loss': 1.4494, 'grad_norm': 2.5315310955047607, 'learning_rate': 4.027777777777778e-05, 'epoch': 0.01}
{'loss': 1.1503, 'grad_norm': 2.6940340995788574, 'learning_rate': 4.166666666666667e-05, 'epoch': 0.01}
{'loss': 1.233, 'grad_norm': 2.5142805576324463, 'learning_rate': 4.305555555555556e-05, 'epoch': 0.01}
{'loss': 1.0623, 'grad_norm': 2.2887768745422363, 'learning_rate': 4.4444444444444447e-05, 'epoch': 0.01}
{'loss': 0.875, 'grad_norm': 2.0861988067626953, 'learning_rate': 4.5833333333333334e-05, 'epoch': 0.01}
{'loss': 0.8022, 'grad_norm': 1.9096028804779053, 'learning_rate': 4.722222222222222e-05, 'epoch': 0.01}
{'loss': 0.8778, 'grad_norm': 1.742495059967041, 'learning_rate': 4.8611111111111115e-05, 'epoch': 0.01}
{'loss': 0.7037, 'grad_norm': 1.1692639589309692, 'learning_rate': 5e-05, 'epoch': 0.02}
{'loss': 0.6379, 'grad_norm': 1.1048392057418823, 'learning_rate': 5.138888888888889e-05, 'epoch': 0.02}
{'loss': 0.7042, 'grad_norm': 1.0767104625701904, 'learning_rate': 5.2777777777777784e-05, 'epoch': 0.02}
{'loss': 0.7476, 'grad_norm': 1.6182032823562622, 'learning_rate': 5.4166666666666664e-05, 'epoch': 0.02}
{'loss': 0.6222, 'grad_norm': 1.4269284009933472, 'learning_rate': 5.555555555555556e-05, 'epoch': 0.02}
{'loss': 0.5161, 'grad_norm': 1.674198865890503, 'learning_rate': 5.6944444444444445e-05, 'epoch': 0.02}
{'loss': 0.5375, 'grad_norm': 1.2678444385528564, 'learning_rate': 5.833333333333334e-05, 'epoch': 0.02}
{'loss': 0.4297, 'grad_norm': 1.171359896659851, 'learning_rate': 5.972222222222223e-05, 'epoch': 0.02}
{'loss': 0.3396, 'grad_norm': 1.1151314973831177, 'learning_rate': 6.111111111111112e-05, 'epoch': 0.02}
